Table,SPNWR_ID,SpeciesCode,OriginalTagID,Neophyte,DateOfActivity,Result,DP Stake,InSituStake1,CurvedCarapaceLength_NtoN,CurvedCarapaceWidth
SPNWR,9519,Dc,45,,5/31/1997,Dry Run,,145,145.3,109.2
SPNWR,9526,Dc,45,,6/1/1997,Relocate,,169,144.5,108.8
SPNWR,9553,Dc,45,,6/11/1997,Dry Run,,173,145,109
SPNWR,9706,Dc,45,,6/13/1997,In Situ,,0,,
SPNWR,9148,Dc,83,,5/6/1997,In Situ,,168,152.7,
SPNWR,9471,Dc,83,,5/28/1997,Dry Run,,144,,
SPNWR,9491,Dc,83,,5/29/1997,Relocate,,164,155.4,109.6
SPNWR,9735,Dc,83,,6/17/1997,Dry Run,,158,,
SPNWR,9746,Dc,83,,6/18/1997,Relocate,,160,153.9,108
SPNWR,9837,Dc,83,,6/28/1997,Relocate,,165,154.2,111
SPNWR,9875,Dc,83,,7/7/1997,Dry Run,,164,,
SPNWR,9879,Dc,83,,7/8/1997,Relocate,,171,153,109
SPNWR,12023,Dc,83,,4/16/2001,Relocate,,161,155.6,111.2
SPNWR,12117,Dc,83,,4/25/2001,Relocate,,168,156.7,110.6
SPNWR,12301,Dc,83,,5/6/2001,Dry Run,,110,,
SPNWR,12466,Dc,83,,5/15/2001,Dry Run,,184,,
SPNWR,12488,Dc,83,,5/16/2001,In Situ,,183,155,110.3
SPNWR,12742,Dc,83,,5/26/2001,Relocate,,172,155.2,111.4
SPNWR,13030,Dc,83,,7/6/2001,Relocate,,,154.3,109.1
SPNWR,13066,Dc,83,,7/14/2001,Relocate,,167,155.5,112.1
SPNWR,13083,Dc,83,,7/22/2001,Dry Run,,116,,
SPNWR,13096,Dc,83,,7/25/2001,In Situ,,200,,
SPNWR,1168,Dc,83,,4/10/2003,Relocate,,155,156.5,111.2
SPNWR,1286,Dc,83,,4/21/2003,In Situ,,173,156.5,111.3
SPNWR,1460,Dc,83,,4/30/2003,Relocate,,169,156.9,111.1
SPNWR,1646,Dc,83,,5/10/2003,Dry Run,,183,,
SPNWR,1666,Dc,83,,5/11/2003,In Situ,,84,157,114
SPNWR,1888,Dc,83,,5/22/2003,Relocate,,152,158.5,108.8
SPNWR,2049,Dc,83,,5/30/2003,Track Only,,149,,
SPNWR,2076,Dc,83,,5/31/2003,In Situ,,189,156.4,111.5
SPNWR,2259,Dc,83,,6/10/2003,Dry Run,,171,,
SPNWR,2274,Dc,83,,6/11/2003,Relocate,,156,157,113.2
SPNWR,2360,Dc,83,,6/20/2003,Relocate,,166,157,112
SPNWR,2444,Dc,83,,6/29/2003,Dry Run,,176,,
SPNWR,2450,Dc,83,,6/30/2003,Relocate,,151,156.8,111.4
SPNWR,13203,Dc,83,,4/1/2006,Relocate,,161,157.7,112
SPNWR,13297,Dc,83,,4/19/2006,In Situ,,169,157,113.6
SPNWR,13437,Dc,83,,5/13/2006,Dry Run,,180,,
SPNWR,13440,Dc,83,,5/14/2006,Dry Run,,166,,
SPNWR,13466,Dc,83,,5/18/2006,Relocate,,177,157.5,112.5
SPNWR,13525,Dc,83,,5/27/2006,Relocate,,160,158,112
SPNWR,13683,Dc,83,,6/19/2006,Relocate,,157,155.5,112
SPNWR,13726,Dc,83,,6/29/2006,Dry Run,,174,,
SPNWR,13727,Dc,83,,6/30/2006,Relocate,,148,154,111
SPNWR,13769,Dc,83,,7/11/2006,Dry Run,,113,,
SPNWR,13775,Dc,83,,7/12/2006,Dry Run,,150,,
SPNWR,13776,Dc,83,,7/12/2006,In Situ,,77,158,112.7
SPNWR,7853,Dc,87,,5/19/1994,Dry Run,,112,,
SPNWR,7874,Dc,87,,5/23/1994,In Situ,,120,152.4,109.5
SPNWR,7876,Dc,87,,5/23/1994,Dry Run,,101,,
SPNWR,7973,Dc,87,,6/3/1994,Relocate,,164,152.1,109
SPActivity,8073,Dc,149,yes,4/12/2017,Lay,,176,157.6,111
SPNWR,3506,Dc,395,,4/26/2005,In Situ,,174,161,115.5
SPNWR,14482,Dc,395,,5/4/2007,In Situ,,166,159.2,115.3
SPNWR,14711,Dc,395,,5/15/2007,Dry Run,,160,,
SPNWR,14647,Dc,395,,5/16/2007,In Situ,,171,158.5,114
SPNWR,14873,Dc,451,,5/29/2007,In Situ,,164,143.7,106.5
SPNWR,8796,Dc,611,,4/25/1997,In Situ,,172,151.4,114.2
SPNWR,9135,Dc,611,,5/5/1997,In Situ,,175,152,121.2
SPNWR,9273,Dc,611,,5/14/1997,Probable Lay,,87,150.8,
SPNWR,9414,Dc,611,,5/26/1997,In Situ,,175,151,114.6
SPNWR,11916,Dc,611,,4/5/2001,In Situ,,191,155.4,115.5
SPNWR,14164,Dc,611,,4/7/2007,Relocate,,168,,
SPNWR,30,Dc,783,,4/5/2002,Probable Lay,,95,,
SPNWR,279,Dc,783,,4/15/2002,In Situ,,111,155.8,115
SPNWR,186,Dc,783,,4/25/2002,In Situ,,156,156.5,114
SPNWR,648,Dc,783,,5/18/2002,Relocate,,151,156,114.5
SPNWR,769,Dc,783,,5/27/2002,Dry Run,,169,,
SPNWR,780,Dc,783,,5/27/2002,Dry Run,,85,,
SPNWR,616,Dc,783,,5/28/2002,In Situ,,96,156.5,113.7
SPNWR,878,Dc,783,,6/6/2002,Relocate,,154,157,114.1
SPNWR,950,Dc,783,,6/15/2002,In Situ,,113,156.5,113.5
SPNWR,1023,Dc,783,,6/25/2002,In Situ,,78,150.7,110.1
SPNWR,16950,Dc,3015,,5/22/2009,Relocate,,151,163.9,116.7
SPNWR,17113,Dc,3015,,6/2/2009,Relocate,,166,164.4,115.8
SPNWR,17238,Dc,3015,,6/11/2009,In Situ,,180,163,115.5
SPNWR,17345,Dc,3015,,6/23/2009,Relocate,,165,163.5,118
SPNWR,31042,Dc,3015,,4/13/2011,Lay,,121,164.3,117
SPNWR,31157,Dc,3015,,4/23/2011,Lay,,180,166,117
SPNWR,31227,Dc,3015,,5/3/2011,Dry Run,,159,,
SPNWR,31248,Dc,3015,,5/4/2011,Lay,,182,164,117.5
SPNWR,31332,Dc,3015,,5/13/2011,Lay,,121,164.8,116.8
SPNWR,31477,Dc,3015,,6/2/2011,Lay,,175,164.5,119.2
SPActivity,8256,Dc,3015,,4/24/2016,Lay,,,166,118
SPActivity,7883,Dc,3015,,4/26/2018,Lay,,166,167.7,118.9
SPActivity,7935,Dc,3015,,5/17/2018,Lay,,170,166,119.5
SPActivity,8284,Dc,3015,,5/4/2016,Dry Run,,125,,
SPActivity,8296,Dc,3015,,5/8/2016,Lay,,180,165.6,118
SPActivity,7910,Dc,3015,,5/8/2018,Lay,,187,167.5,124
SPNWR,15394,Dc,3063,,4/19/2008,In Situ,,188,165,114.7
