SPNWR_ID,Species Confirm,Observer,Located,Beach,FullEXC,When did nest hatch?,NESTFATE,MARKED,DPSTK2,INSITSTN2,Nest Not Found,Nest Washed Out,Observation date,Nest Emerge Observer,Nest Emerge Date,Nest Emerge Time,Nest Excavation Observer,Nest Excavation Date,Nest Excavtion Time,Nest Marker Found,Nest Predated,Predated at Pre-Emergence,Predated at Emergence,Predated at Post Emergence,Predated Unknown,Predated by Cat,Predated by Crab,Predated by Dog,Predated by Mongoose,Predated by Night Heron,Predated by Unknown,Predated by Other,Predation Notes,Number of Turtles Predated,Disorientated Nest,Disorientated Cause,Disorientated Pattern Drawn,Live Hatchlings Aliver Emerged,Emerged Observed,Live Hatchlings Date Released,Live Hatchlings Time Released,Live Hatchlings Release Location,Dead Emerged,Dead Emerged (Dehydrated),Dead Emerged Predated,Dead Emerged Entangled,Dead Emerged Unknown,Dead in Nest Dehydrated,Dead In Nest Predated,Dead In Nest Entangled,Dead In Nest Unknown,Live Hatchlings Alive in Nest,Dead in Nest,Yolkless Eggs,Hatched Shells,Full Term Pipped (Live),Full Term Pipped (Dead),Full Term Unpipped (Live),Full Term Unpipped (Dead),Mid Pig Body,Pre-midterm (pigmented eye),Undeveloped,Unfertilized,Unknown Eggs,Total unhatched,Total eggs,Hatch success (%),Hatched Deformed,Type Deformity,Unhatched Deformed Twins,Unhatched Deformed Albinos,Unhatched Deformed Other,Relocated Nests Number of Eggs Reburied,Relocated Nests Number of Yolkless Reburied,Nest Notes,Unhatched Eggs,HatchlingsSampled,YolklessCollected,GeneticNotes,Genetic Nest ID,TempLogEi,TempLogDc,Substrate,Vegetation Type
13,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,CL,6/11/2011,20:34,RR,6/14/2011,20:45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,6/14/2011,21:05,180/181,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,18,65,0,3,0,6,0,0,4,0,1,14,79,82.27848101,,,,,,0,0,,,,,,,,,,
17,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,PR,6/13/2011,23:30,CL,6/16/2011,20:45,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"tracks and digging (mongoose), crab hole",0,FALSE,,FALSE,0,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,15,32,0,5,0,0,2,0,4,0,6,17,49,65.30612245,,,,,,0,0,,,,,,,,,,
23,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RW,6/4/2011,2:30,"TI, AB",6/7/2011,1:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Roots in nest,0,FALSE,,FALSE,1,TRUE,6/7/2011,1:37,170,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,28,38,0,0,0,0,0,2,2,0,0,4,42,90.47619048,,,,,,0,0,,,,,,,,,,
25,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RR,6/14/2011,1:30,RR,6/16/2011,22:15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,6/16/2011,22:40,135/136,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,6,40,75,2,5,0,2,0,0,3,0,0,12,87,86.20689655,,,,,,0,0,,,,,,,,,,
26,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,AF,6/16/2011,23:30,"JV, RW",6/19/2011,21:10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,3,FALSE,6/19/2011,21:30,181,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,10,25,48,0,20,0,18,2,0,10,0,8,58,106,45.28301887,0,,,,,0,0,,,,,,,,,,
28,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,RR,6/14/2011,20:20,RW,6/17/2011,21:10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,1,FALSE,6/17/2011,21:15,169,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,41,58,6,0,0,2,0,1,8,0,6,23,81,71.60493827,0,,,,,0,0,,,,,,,,,,
29,,,FALSE,,FALSE,,,FALSE,,,TRUE,FALSE,,TI,6/18/2011,20:34,"TI, AF",6/21/2011,22:17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,1,FALSE,,22:26,179,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,8,47,0,0,0,4,2,1,29,0,0,36,83,56.62650602,,,,,,0,0,,,,,,,,,,
30,,,FALSE,,FALSE,,,FALSE,,,FALSE,TRUE,,TI,6/17/2011,23:25,"RR, AF",6/20/2011,23:45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,0,FALSE,6/20/2011,23:50,179,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,26,76,0,1,0,0,1,0,3,0,0,5,81,93.82716049,,,,,,0,0,,,,,,,,,,
31,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,TI,6/14/2011,20:27,TI,6/17/2011,20:40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,FALSE,,FALSE,2,TRUE,6/17/2011,21:21,121,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,20,54,1,5,0,20,1,0,13,0,1,41,95,56.84210526,0,,,,,0,0,,,,,,,,,,
32,,,FALSE,,FALSE,,,FALSE,,,FALSE,FALSE,,TI,6/17/2011,21:53,TI,6/20/2011,22:14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ants at surface,0,FALSE,,FALSE,2,FALSE,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,18,51,0,11,0,0,0,0,4,0,0,15,66,77.27272727,,,,,,0,0,,,,,,,,,,
