SPNWR_ID,DateOfActivity,SpeciesCode,OriginalTagID,CaptureType,ActivityLocation,Result,Y Laid,Y Buried,Yless Laid,Yless Buried,Date Emerg,Time Emerg,Date Excav,Time Excav,NestConfirmed,NestWashedOut,NestNotFound,PredatedType,PredatedWhen,PredatedEggs,PredatedHatchlings,L Hatch,LiveEmergedHatchlings,DateLHatchReleased,TimeLHatchReleased,HatchlingReleaseLocation,EmergedHatchlingsDead,EmergedHatchlingsDeadReason,EmergedHatchlingsAlive,HatchlingsTakenForIncubation,HatchlingsReleased,D Hatch,NestHatchlingsDeadReason,Yolkless,Hatched shell,Full term pipped dead,Full term pipped live,Full term unpipped dead,FTU-Live,PB-E,PB-L,PE-E,PE-L,Undeveloped,UnFertilized,UNPIG,UNKNOWN,Total unhatched,Total eggs,Hatch success (%),H-Deformed,UH-Deformed_Albino,UH-Deformed_Twins,UH-Deformed_Other
9526,6/1/1997,Dc,45,Nesting,Sandy Point,Relocate,,,,,,,8/1/1997,,TRUE,FALSE,FALSE,,,,,0,6,,,,,,,,,0,,49,6,5,0,0,0,0,1,0,0,3,0,0,2,11,17,35.3,0,0,0,0
1168,4/10/2003,Dc,83,Nesting,Sandy Point,Relocate,110,110,11,11,,,6/13/2003,,TRUE,FALSE,FALSE,,,,,0,3,,,,0,,,,,3,,7,54,9,0,2,0,1,1,2,0,28,0,0,1,44,98,55.1,0,0,0,0
1888,5/22/2003,Dc,83,Nesting,Sandy Point,Relocate,95,95,47,47,,,7/23/2003,,TRUE,FALSE,FALSE,,,,,0,6,,,,0,,,,,5,,35,55,23,0,0,0,0,0,1,0,9,0,0,3,36,91,60.4,0,0,0,0
13683,6/19/2006,Dc,83,Nesting,Sandy Point,Relocate,88,88,49,49,,,8/7/2006,,FALSE,FALSE,FALSE,None,,0,,7,6,,,,0,,0,0,0,0,,49,7,1,0,0,0,1,0,1,1,77,0,0,0,81,88,8.0,0,0,0,0
13203,4/1/2006,Dc,83,Nesting,Sandy Point,Relocate,94,94,11,11,,,6/5/2006,,FALSE,FALSE,FALSE,Night Heron,Post Nest Emergence,0,,12,0,5-Jun-06,,,0,,0,0,0,6,Unknown,7,69,6,0,3,0,0,0,0,0,8,0,0,0,17,86,80.2,0,0,0,0
13525,5/27/2006,Dc,83,Nesting,Sandy Point,Relocate,74,74,63,63,7/26/2006,,7/27/2006,,FALSE,FALSE,FALSE,None,,0,,0,7,27-Jul-06,00-Jan-00,,0,,0,0,0,0,,46,38,5,0,25,0,0,2,2,0,4,0,0,6,44,82,46.3,0,0,0,0
2076,5/31/2003,Dc,83,Nesting,Sandy Point,In Situ,,,,,,,7/30/2003,,TRUE,FALSE,FALSE,,,,,0,1,,,,0,,,,,1,,54,55,12,0,0,0,0,1,0,0,6,0,0,4,23,78,70.5,0,0,0,0
9746,6/18/1997,Dc,83,Nesting,Sandy Point,Relocate,87,87,43,43,8/17/1997,,8/18/1997,,TRUE,FALSE,FALSE,,,,,0,12,,,,,,,,,1,,32,13,37,0,9,0,0,4,0,0,11,0,1,1,63,76,17.1,0,0,0,0
1460,4/30/2003,Dc,83,Nesting,Sandy Point,Relocate,71,71,31,31,6/30/2003,,7/2/2003,,TRUE,FALSE,FALSE,,,,,0,11,,,,0,,,,,11,,31,45,12,0,1,0,0,1,1,0,7,0,0,0,22,67,67.2,0,0,0,1
9837,6/28/1997,Dc,83,Nesting,Sandy Point,Relocate,72,72,50,50,8/25/1997,,8/26/1997,,TRUE,FALSE,FALSE,,,,,0,17,,,,,,,,,1,,45,18,30,0,3,0,0,2,4,0,7,0,1,1,48,66,27.3,0,0,0,0
2360,6/20/2003,Dc,83,Nesting,Sandy Point,Relocate,70,70,51,51,,,8/23/2003,,TRUE,FALSE,FALSE,,,,,0,1,,,,0,,,,,0,,51,57,2,0,2,0,0,0,0,0,3,0,0,0,7,64,89.1,0,0,0,0
13466,5/18/2006,Dc,83,Nesting,Sandy Point,Relocate,66,66,42,42,,,7/18/2006,,FALSE,FALSE,FALSE,None,,0,,5,13,18-Jul-06,00-Jan-00,,0,,0,0,0,2,Unknown,36,27,26,0,4,0,1,0,0,0,3,0,0,0,34,61,44.3,0,0,4,0
13297,4/19/2006,Dc,83,Nesting,Sandy Point,In Situ,,,,,,,6/23/2006,,FALSE,FALSE,FALSE,None,,0,,0,0,,,,0,,0,0,0,0,,25,46,0,0,4,0,0,1,0,0,0,0,0,2,7,53,86.8,0,0,0,0
9491,5/29/1997,Dc,83,Nesting,Sandy Point,Relocate,59,59,43,43,7/26/1997,22:10:00,7/26/1997,,TRUE,FALSE,FALSE,,,,,0,26,,,,,,,,,1,,32,27,2,0,0,0,0,2,0,0,4,0,1,1,10,37,73.0,0,0,0,0
7973,6/3/1994,Dc,87,Nesting,Sandy Point,Relocate,76,74,45,45,8/2/1994,,8/3/1994,,TRUE,FALSE,FALSE,,,,,0,21,,,,,,,,,1,,31,44,22,0,0,0,0,0,2,0,7,0,0,1,32,76,57.9,0,0,0,0
3506,4/26/2005,Dc,395,Nesting,Sandy Point,In Situ,,,,,,,7/7/2005,,TRUE,FALSE,FALSE,,,,,0,0,,,,0,,,,,0,,26,57,4,0,4,0,2,2,4,4,9,0,0,2,31,88,64.8,0,0,0,1
14647,5/16/2007,Dc,395,Nesting,Sandy Point,In Situ,,,,,,,7/18/2007,,FALSE,FALSE,FALSE,,,,,4,1,18-Jul-07,00-Jan-00,,0,,,,,2,Unknown,27,32,12,0,22,0,0,0,0,0,8,0,,0,42,74,43.2,0,,,
14482,5/4/2007,Dc,395,Nesting,Sandy Point,In Situ,,,,,,,7/7/2007,,FALSE,FALSE,FALSE,,,,,3,0,7-Jul-07,00-Jan-00,,0,,,,,0,,19,47,4,0,0,0,0,0,0,0,2,0,,0,6,53,88.7,0,,,
14164,4/7/2007,Dc,611,Nesting,Sandy Point,Relocate,119,118,9,9,,,6/11/2007,,FALSE,FALSE,FALSE,,,,,2,12,11-Jun-07,00-Jan-00,,0,,,,,0,,11,22,1,0,6,0,1,2,15,2,24,36,,2,89,111,19.8,0,,,
8796,4/25/1997,Dc,611,Nesting,Sandy Point,In Situ,,,,,,,6/28/1997,,TRUE,FALSE,FALSE,,,,,0,3,,,,,,,,,0,,31,6,0,0,0,0,0,1,0,0,90,0,0,1,92,98,6.1,0,0,0,0
878,6/6/2002,Dc,783,Nesting,Sandy Point,Relocate,81,81,56,,,,8/12/2002,,TRUE,FALSE,FALSE,,,,,0,1,,,,0,,,,,10,,35,37,15,0,1,0,8,0,1,3,13,0,0,3,44,81,45.7,0,0,0,1
648,5/18/2002,Dc,783,Nesting,Sandy Point,Relocate,81,81,40,39,,,7/22/2002,,TRUE,FALSE,FALSE,,,,,0,9,,,,0,,,,,0,,34,37,0,0,0,0,4,1,5,4,29,0,0,0,43,80,46.3,0,0,0,0
950,6/15/2002,Dc,783,Nesting,Sandy Point,In Situ,,,,,,,8/20/2002,,TRUE,FALSE,FALSE,,,,,0,0,,,,0,,,,,0,,37,29,23,0,1,0,0,0,2,0,9,0,0,5,40,69,42.0,0,0,0,0
279,4/15/2002,Dc,783,Nesting,Sandy Point,In Situ,,,,,6/24/2002,,6/25/2002,,TRUE,FALSE,FALSE,,,,,0,0,,,,0,,,,,0,,32,35,0,0,3,0,0,0,0,0,10,0,0,2,15,50,70.0,0,0,0,1
17113,6/2/2009,Dc,3015,Nesting,Sandy Point,Relocate,94,94,32,28,7/30/2009,,7/31/2009,,FALSE,FALSE,FALSE,,,,,15,10,,,,0,,,,,1,,24,50,17,3,11,0,2,0,2,1,8,0,,5,49,99,50.5,0,0,0,0
16950,5/22/2009,Dc,3015,Nesting,Sandy Point,Relocate,91,90,36,31,7/20/2009,,7/21/2009,,FALSE,FALSE,FALSE,,,,,34,34,,,,0,,,,,1,Dehydrated,30,35,0,0,2,0,1,0,5,1,45,0,,7,61,96,36.5,0,0,0,0
17238,6/11/2009,Dc,3015,Nesting,Sandy Point,In Situ,,,,,8/11/2009,,8/12/2009,,FALSE,FALSE,FALSE,,,,,3,54,11-Aug-09,00-Jan-00,,2,Dehydrated,,,,0,,57,60,5,0,3,0,1,1,0,2,10,0,,3,25,85,70.6,0,0,0,0
17345,6/23/2009,Dc,3015,Nesting,Sandy Point,Relocate,81,81,45,44,8/19/2009,,8/21/2009,,FALSE,FALSE,FALSE,,,,,0,3,21-Aug-09,,,0,,,,,0,,46,30,4,0,0,0,3,2,2,1,22,0,,14,48,78,38.5,0,0,0,0
2811,5/3/2004,Dc,3342,Nesting,Sandy Point,In Situ,,,,,7/31/2004,,8/2/2004,,TRUE,FALSE,FALSE,,,,,0,6,,,,0,,,,,1,,34,48,4,0,0,0,0,0,0,3,9,0,0,2,18,66,72.7,0,0,0,0
2899,5/13/2004,Dc,3342,Nesting,Sandy Point,In Situ,,,,,,,7/26/2004,,TRUE,FALSE,FALSE,,,,,0,1,,,,0,,,,,1,,50,47,1,0,0,0,0,0,1,0,1,0,0,8,11,58,81.0,0,0,0,0
5781,6/9/1987,Dc,60987,Nesting,Sandy Point,Relocate,,72,,27,8/12/1987,,8/12/1987,,TRUE,FALSE,FALSE,,,,,0,3,,,,,,,,,0,,26,56,2,0,2,0,3,0,0,0,8,0,0,0,15,71,78.9,0,0,0,0
14951,6/5/2007,Dc,29262380,Nesting,Sandy Point,In Situ,,,,,8/6/2007,,8/10/2007,,FALSE,FALSE,FALSE,,,,,0,0,,,,0,,,,,0,,59,33,0,0,0,0,4,3,7,2,27,0,,5,48,81,40.7,0,0,0,0
14829,5/27/2007,Dc,29262380,Nesting,Sandy Point,In Situ,,,,,,,7/29/2007,,FALSE,FALSE,FALSE,,,,,0,2,29-Jul-07,00-Jan-00,,0,,,,,0,,33,11,3,0,3,0,3,3,0,1,51,0,,2,66,77,14.3,0,2,0,0
15025,6/14/2007,Dc,29262380,Nesting,Sandy Point,In Situ,,,,,8/13/2007,,8/15/2007,,FALSE,FALSE,FALSE,,,,,0,0,,,,0,,,,,0,,66,25,1,0,0,0,1,0,1,0,30,0,,0,33,58,43.1,0,0,0,0
16869,5/5/2009,Dc,29275057,Nesting,Sandy Point,Relocate,89,89,35,35,7/11/2009,,7/14/2009,,FALSE,FALSE,FALSE,,,,,0,9,14-Jul-09,00-Jan-00,,0,,,,,0,,32,22,46,0,2,0,0,0,0,0,3,0,,9,60,82,26.8,0,0,0,0
4068,6/18/2005,Dc,029286278,Nesting,Sandy Point,In Situ,,,,,,,8/18/2005,,TRUE,FALSE,FALSE,,,,,0,0,,,,0,,,,,0,,40,0,0,0,0,0,0,1,18,0,98,0,0,0,117,117,0.0,0,0,0,0
3554,4/30/2005,Dc,029286278,Nesting,Sandy Point,Relocate,111,111,8,7,,,7/6/2005,,TRUE,FALSE,FALSE,,,,,0,0,,,,0,,,,,1,,7,34,9,0,5,0,1,0,3,2,55,0,0,2,77,111,30.6,0,0,0,0
15497,4/30/2008,Dc,029286278,Nesting,Sandy Point,In Situ,,,,,,,7/2/2008,,FALSE,FALSE,FALSE,,,,,6,0,,,,0,,,,,7,,31,31,7,0,18,1,9,9,4,0,27,0,,3,78,109,28.4,0,0,0,0
2185,6/6/2003,Dc,029286278,Nesting,Sandy Point,In Situ,,,,,,,8/11/2003,,TRUE,FALSE,FALSE,,,,,0,2,,,,0,,,,,0,,34,61,17,0,10,0,0,1,0,0,16,0,0,2,46,107,57.0,0,0,0,0
3862,5/28/2005,Dc,029286278,Nesting,Sandy Point,Relocate,103,103,20,20,,,7/25/2005,,TRUE,FALSE,FALSE,,,,,0,23,25-Jul-05,00-Jan-00,,0,,,,,2,,19,32,11,0,11,0,0,7,5,1,31,0,0,5,71,103,31.1,0,0,0,0
3971,6/7/2005,Dc,029286278,Nesting,Sandy Point,Relocate,100,100,40,40,,,8/11/2005,,TRUE,FALSE,FALSE,,,,,0,3,11-Aug-05,00-Jan-00,,0,,,,,1,,32,15,10,0,61,0,1,0,1,0,12,0,0,0,85,100,15.0,0,0,0,0
15863,6/13/2008,Dc,029286278,Nesting,Sandy Point,Relocate,94,94,29,29,,,8/15/2008,,FALSE,FALSE,FALSE,,,,,0,0,,,,0,,,,,1,Unknown,29,67,0,0,3,0,0,2,0,0,15,0,,7,27,94,71.3,0,0,0,0
2017,5/28/2003,Dc,029286278,Nesting,Sandy Point,Relocate,93,93,44,43,,,8/2/2003,,TRUE,FALSE,FALSE,,,,,0,2,,,,0,,,,,0,,46,30,32,0,15,0,2,4,0,0,6,0,0,3,62,92,32.6,0,0,0,0
16872,4/12/2009,Dc,29288890,Nesting,Sandy Point,In Situ,,,,,6/17/2009,,6/18/2009,,FALSE,FALSE,FALSE,,,,,4,1,18-Jun-09,00-Jan-00,,1,,,,,1,,12,63,12,0,1,0,0,0,0,0,7,0,,3,23,86,73.3,0,0,0,0
